,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
31,6hOkDfpqzrARPgVRmUGbSs,Ooh La La La,6n6G0ORHLwMiQYzgT0QxWV,https://p.scdn.co/mp3-preview/2ec63f8eeac7875b1ebfec9aee5f0058124f1fc7?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2018-12-13,"['k-pop', 'k-pop boy group']",0.65,0.648,-6.016,0.0833,0.238,0,0.111,0.61,165.15,8,0,187446,49.0
32,6hOkDfpqzrARPgVRmUGbSs,Damage,7lWNCugRVcucncRCvx4egm,https://p.scdn.co/mp3-preview/b895a402d17f429144695cd04e6e26b66390bce5?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2018-12-13,"['k-pop', 'k-pop boy group']",0.695,0.783,-4.068,0.151,0.192,0,0.0339,0.551,79.972,11,1,209866,41.0
33,6hOkDfpqzrARPgVRmUGbSs,24/7,6EjU5hbaHHtzuZUGkH0cJQ,https://p.scdn.co/mp3-preview/bbafe1b48fc0270282c3ff5e111901c725b1e1a3?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2018-12-13,"['k-pop', 'k-pop boy group']",0.762,0.594,-5.465,0.0481,0.1,0,0.123,0.337,98.025,0,1,243324,46.0
34,6hOkDfpqzrARPgVRmUGbSs,Touch It,1SKltjAmqarrBgHW5HrcKW,https://p.scdn.co/mp3-preview/98e6f427a08d56a7bd948d137dc756a1da406ddc?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2017-07-18,"['k-pop', 'k-pop boy group']",0.703,0.917,-3.269,0.115,0.159,0,0.0802,0.874,109.985,5,0,209896,46.0
35,6hOkDfpqzrARPgVRmUGbSs,Walk On Memories,6lRGSp6vkzCvrHSwqO9Tx6,https://p.scdn.co/mp3-preview/275ab3a6cb41b0004adfb6cdd59809c519cd1417?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2017-07-18,"['k-pop', 'k-pop boy group']",0.73,0.555,-7.113,0.0299,0.346,0,0.0786,0.447,113.968,7,0,232234,46.0
36,6hOkDfpqzrARPgVRmUGbSs,Smile On My Face,2kR6mugnuItlVaqMejBe65,https://p.scdn.co/mp3-preview/6ee7b1252685d9beac11b7ad63e65a231aaa095f?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2018-12-13,"['k-pop', 'k-pop boy group']",0.703,0.596,-6.603,0.0412,0.4,0,0.0907,0.549,135.057,4,1,218533,41.0
37,6hOkDfpqzrARPgVRmUGbSs,One and Only,1sPlp5kf3DMFfwOUBO7v8p,https://p.scdn.co/mp3-preview/a38305b8951ef0012a9168dfcd35190b7e9ee5e3?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2016-08-18,"['k-pop', 'k-pop boy group']",0.531,0.708,-5.072,0.0335,0.062,0,0.0925,0.451,77.016,8,0,229056,33.0
38,6hOkDfpqzrARPgVRmUGbSs,Been Through,5pesNiBKAx8JNwK2mQ2HEc,https://p.scdn.co/mp3-preview/3e4e335b1f7bb73e23cce65d132a854b69b954fc?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2017-12-26,"['k-pop', 'k-pop boy group']",0.629,0.575,-5.763,0.0354,0.235,0,0.0935,0.239,136.053,6,0,218090,58.0
39,6hOkDfpqzrARPgVRmUGbSs,Sweet Lies,4KMkvQ4pukipifwyjc8fAH,https://p.scdn.co/mp3-preview/a4867d4c0de1997d26d8eda759a8988ea40f6f76?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2017-09-05,"['k-pop', 'k-pop boy group']",0.59,0.592,-7.146,0.0758,0.0456,0,0.104,0.211,102.857,1,1,216200,48.0
40,6hOkDfpqzrARPgVRmUGbSs,BEAUTIFUL,1I0Oju1Rg6ODRB8Lduv05l,https://p.scdn.co/mp3-preview/c273739616cf0ee6017cfa2df3db3c66a4834b88?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2015-06-03,"['k-pop', 'k-pop boy group']",0.713,0.72,-4.499,0.028,0.0176,0,0.338,0.326,111.03,10,0,243055,35.0
41,6hOkDfpqzrARPgVRmUGbSs,What If..,0OTyfDnEold6Ulj6f4Yuuo,https://p.scdn.co/mp3-preview/6327db117c44cac97d5b113bb01e3caf7013be71?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2015-06-03,"['k-pop', 'k-pop boy group']",0.638,0.452,-5.576,0.0325,0.219,5.41e-06,0.0776,0.492,118.01,3,0,258955,40.0
42,6hOkDfpqzrARPgVRmUGbSs,"Baby, Don't Cry",7M4eO9xXwmAnO0hq6XDles,https://p.scdn.co/mp3-preview/e5378ae730d11b78a3b7ebb4aa826fe080606e91?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2013-08-05,"['k-pop', 'k-pop boy group']",0.653,0.827,-4.179,0.0417,0.344,0,0.144,0.421,137.946,5,1,233956,57.0
43,6hOkDfpqzrARPgVRmUGbSs,Fall,7LDuJCCn3GQyXvqfakUTHx,https://p.scdn.co/mp3-preview/d13d2ff5a07f531ebb69ccec85e5b111da35eb8b?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2017-12-26,"['k-pop', 'k-pop boy group']",0.665,0.586,-6.724,0.048,0.207,0,0.0946,0.343,137.873,9,0,207246,44.0
44,6hOkDfpqzrARPgVRmUGbSs,Good Night,3GTRCT1awGpTwi3ONuT8D3,https://p.scdn.co/mp3-preview/9ed4878eaa8baafe7a9063f22d645228eb2a8c8c?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2017-12-26,"['k-pop', 'k-pop boy group']",0.707,0.415,-7.662,0.0408,0.687,0,0.137,0.322,130.045,10,0,211166,42.0
45,6hOkDfpqzrARPgVRmUGbSs,What Is Love,1VWSUWcVZEAPGBYVkevN3u,https://p.scdn.co/mp3-preview/3e2923b95e4ba8d3c45cf03bab31b058b9787a9c?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2012-04-09,"['k-pop', 'k-pop boy group']",0.728,0.714,-3.667,0.0355,0.565,0,0.0544,0.785,131.919,8,1,261224,53.0
46,6hOkDfpqzrARPgVRmUGbSs,휴일 Lazy,6JNBzJx22UEmNz6X2cCXQq,https://p.scdn.co/mp3-preview/2ee27f6f028fc0c745a2a215aac32508fcfde6f7?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2018-04-10,"['k-pop', 'k-pop boy group']",0.717,0.748,-3.731,0.031,0.0249,0,0.321,0.848,100.026,1,1,205126,39.0
47,6hOkDfpqzrARPgVRmUGbSs,Moonlight,18Ptr7mwqViAKSrUZ0WyHm,https://p.scdn.co/mp3-preview/f22dfb345f50c5fd93256eb158a1996667594fd8?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2014-08-06,"['k-pop', 'k-pop boy group']",0.669,0.747,-5.477,0.0312,0.166,0,0.168,0.492,122.001,11,1,265254,53.0
48,6hOkDfpqzrARPgVRmUGbSs,Thunder,23dl021k6ZO3afFgS6TLr7,https://p.scdn.co/mp3-preview/a2ceb0ba936f51cd95f8233ebb95db2878d76bbc?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2014-08-06,"['k-pop', 'k-pop boy group']",0.722,0.771,-3.069,0.0915,0.337,0,0.282,0.773,97.98,11,0,191488,53.0
49,6hOkDfpqzrARPgVRmUGbSs,Closer to you,7EjYWU5tXssa4BP92PgGUM,https://p.scdn.co/mp3-preview/a154acd5c9491598a67880a3e6f598ef6d0d6a3c?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2019-07-22,"['k-pop', 'k-pop boy group']",0.737,0.76,-3.711,0.107,0.393,0,0.126,0.56,93.011,7,0,187253,41.0
50,6hOkDfpqzrARPgVRmUGbSs,Cloud 9,4TreoczV2m4vdhBth164wG,https://p.scdn.co/mp3-preview/1a3ea755a00ea13552f59ca06185210067272124?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2016-06-09,"['k-pop', 'k-pop boy group']",0.801,0.726,-5.289,0.0751,0.15,0,0.325,0.534,103.017,7,1,241396,40.0
