,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
252,3lJqL7my6Z4yiYGpHBecew,"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long / FAST X Soundtrack)",0ApadYqa3GRQkJJ3E7pQDJ,https://p.scdn.co/mp3-preview/78147bfcb8b06f8ad39849aee736b83ebe7f695f?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-06-15,"['modern indie pop', 'pov: indie', 'singer-songwriter pop']",0.57,0.635,-6.641,0.121,0.186,0,0.0874,0.364,84.856,1,1,176455,71.0
253,3lJqL7my6Z4yiYGpHBecew,Still With You,0eFMbKCRw8KByXyWBw8WO7,https://p.scdn.co/mp3-preview/af2a740e10a6956dedd7e7f66fd65d7166e9187f?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2020-06-05,['k-pop'],0.529,0.469,-6.967,0.0358,0.0899,1.53e-05,0.831,0.344,87.864,1,0,239906,82.0
254,3lJqL7my6Z4yiYGpHBecew,Seven (feat. Latto),7x9aauaA9cu6tyfpHnqDLo,https://p.scdn.co/mp3-preview/2f2b3f4eaf405ac3ba9792456cec93ae88942cfc?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-07-14,['k-pop'],0.802,0.832,-4.107,0.0434,0.311,0,0.0815,0.89,124.997,11,1,185427,88.0
255,3lJqL7my6Z4yiYGpHBecew,Seven (feat. Latto) (Nightfall Mix),2D9Xezc9lJi8Dk088VyQt1,https://p.scdn.co/mp3-preview/b491f256b97105cdcada688dc7441ec5acab23ca?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-07-21,['k-pop'],0.711,0.664,-5.814,0.0843,0.58,0,0.137,0.663,129.83,8,0,177253,52.0
256,3lJqL7my6Z4yiYGpHBecew,Seven (feat. Latto) (Lofi Mix),0anAdKplcEJcshuFGZS3cN,https://p.scdn.co/mp3-preview/fb55caa558e7e9a9fb1f1dd665e8ab10edfc85a4?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-07-21,['k-pop'],0.716,0.615,-7.039,0.0447,0.166,0,0.146,0.77,120.015,8,0,201253,56.0
257,3lJqL7my6Z4yiYGpHBecew,Rainy Days,5ydjxBSUIDn26MFzU3asP4,https://p.scdn.co/mp3-preview/fc0aae60526839e3a3f281659086a2d7e77fac48?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-08-11,"['j-division', 'korean ost']",0.633,0.454,-8.016,0.0875,0.739,0,0.148,0.282,74.828,9,0,179560,82.0
258,3lJqL7my6Z4yiYGpHBecew,Love Me Again,2N0SPREDYqILVEFSsWF5N5,https://p.scdn.co/mp3-preview/7cf9f9fce7c6ea14a19134d84a3034fef7067f0a?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-08-11,"['j-division', 'korean ost']",0.633,0.607,-6.182,0.0532,0.183,1.38e-06,0.167,0.363,74.029,0,0,182293,91.0
259,3lJqL7my6Z4yiYGpHBecew,My You,0pNFrM5L0te1EXGxveeYiR,https://p.scdn.co/mp3-preview/cfc7dcb0e78248a9db55f14a79516f42a0866028?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2022-06-13,['k-pop'],0.451,0.691,-5.395,0.0374,0.421,0,0.338,0.354,143.997,9,1,165071,77.0
260,3lJqL7my6Z4yiYGpHBecew,Scenery,1UHkDovEFqHzHCPyNe0BTy,https://p.scdn.co/mp3-preview/d8c5856931cd310a5c2a471be24398fc45f95681?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2019-01-30,"['j-division', 'korean ost']",0.367,0.263,-11.413,0.0309,0.658,3.8e-05,0.269,0.247,130.674,3,1,294252,70.0
261,3lJqL7my6Z4yiYGpHBecew,Winter Bear,74ewFAgDzRkhZ7EX2eLtfZ,https://p.scdn.co/mp3-preview/80c408572e65ce89039c28ebed2f55d68eb2eae5?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2019-08-10,"['j-division', 'korean ost']",0.291,0.453,-10.387,0.0285,0.247,0.162,0.219,0.291,166.224,7,1,174824,72.0
262,3lJqL7my6Z4yiYGpHBecew,Snow Flower (feat. Peakboy),34IGOyXR6cn0YI9VBu8m0y,https://p.scdn.co/mp3-preview/510cdf6d607b0d9e558a93e7ac1caa773f9f7a38?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2020-12-25,"['j-division', 'korean ost']",0.767,0.435,-5.732,0.0388,0.377,4.14e-05,0.116,0.355,97.529,11,1,229013,71.0
263,3lJqL7my6Z4yiYGpHBecew,Blue,2UU11hvjN1JIn4iihEodNT,https://p.scdn.co/mp3-preview/d7bbc2d12d66d665fb8cbb9097a529a4d19f7bfc?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-09-08,"['j-division', 'korean ost']",0.735,0.442,-9.529,0.0719,0.68,0.0011,0.0992,0.277,128.013,2,0,149853,80.0
264,3lJqL7my6Z4yiYGpHBecew,Slow Dancing,5h1BN75CEh8wdSwE1xrbSe,https://p.scdn.co/mp3-preview/0a655b364caef39379d42b81d656fabed20539d6?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-09-08,"['j-division', 'korean ost']",0.579,0.63,-7.758,0.058,0.257,0.00462,0.0986,0.552,155.96,8,1,187027,89.0
265,3lJqL7my6Z4yiYGpHBecew,For Us,4HAOgAnILvXCbSODMoRnmD,https://p.scdn.co/mp3-preview/d3865c1fd6fa1efb6c9649b6039d67bf28c0ee9d?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-09-08,"['j-division', 'korean ost']",0.556,0.339,-11.128,0.033,0.798,0.0118,0.172,0.215,84.968,1,0,171160,80.0
266,3lJqL7my6Z4yiYGpHBecew,3D (feat. Jack Harlow),6ehWdR7cGDXnT7aKEASJxE,https://p.scdn.co/mp3-preview/74f0838fd4469ac28b5fd6be753eb534e52b4810?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-09-29,['k-pop'],0.853,0.824,-3.287,0.103,0.0322,0,0.0859,0.888,108.044,1,1,201812,86.0
267,3lJqL7my6Z4yiYGpHBecew,3D (Alternate Ver.),2pLZ6tUBapqlngc9lnYz4M,https://p.scdn.co/mp3-preview/fc749d3868fbbd8bccc908950e5ce109e5c4fecd?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-09-29,['k-pop'],0.865,0.785,-3.313,0.0483,0.0221,0,0.286,0.836,108.031,1,1,162545,67.0
268,3lJqL7my6Z4yiYGpHBecew,TOO MUCH,0rKWJnmo6Q0ovoPOLoLm0t,https://p.scdn.co/mp3-preview/1302348a38a83e8df2271d74bf0c03a3e669efc5?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-10-19,['australian hip hop'],0.758,0.703,-5.979,0.172,0.252,0,0.146,0.465,94.985,10,0,203939,77.0
269,3lJqL7my6Z4yiYGpHBecew,ProMeTheUs,4FC4LApeNhUUhhlar4AK5r,https://p.scdn.co/mp3-preview/70de4762a471c679530467ae7395422f4bcba740?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2015-05-27,"['korean old school hip hop', 'korean underground rap']",0.593,0.831,-4.825,0.347,0.0799,0,0.279,0.584,82.487,2,1,340572,45.0
270,3lJqL7my6Z4yiYGpHBecew,Standing Next to You,2KslE17cAJNHTsI2MI0jb2,https://p.scdn.co/mp3-preview/b1cac49f0f6043eae3a0c0557fe16a9579fbc519?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-11-03,['k-pop'],0.711,0.809,-4.389,0.0955,0.0447,0,0.339,0.816,106.017,2,0,206020,95.0
271,3lJqL7my6Z4yiYGpHBecew,Yes or No,2gkVEnpahpE3bQuvGuCpAV,https://p.scdn.co/mp3-preview/e807ef66f93d15da0c4fcb10becfbb801f10174e?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-11-03,['k-pop'],0.671,0.839,-2.645,0.0866,0.179,0,0.0748,0.882,83.845,1,1,147557,87.0
272,3lJqL7my6Z4yiYGpHBecew,Hate You,5ONOlTiqymhzwcFjqcIT6E,https://p.scdn.co/mp3-preview/3dd3d2459592c73b89cfe65c96cb89f396f4acb0?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-11-03,['k-pop'],0.419,0.274,-9.321,0.0314,0.862,0,0.092,0.25,79.595,2,1,154237,83.0
273,3lJqL7my6Z4yiYGpHBecew,Somebody,5KfJvZ0PZzRdwFRaTUDAA7,https://p.scdn.co/mp3-preview/3970791489db192479b65355dff56b10a2a56fd3?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-11-03,['k-pop'],0.65,0.679,-5.557,0.0477,0.286,0,0.136,0.256,106.059,1,0,168600,81.0
274,3lJqL7my6Z4yiYGpHBecew,Shot Glass of Tears,7AbqgE05nFl9qY4FRUiq2p,https://p.scdn.co/mp3-preview/8ca2d835eb2edcbbf0924eb086a5c0cbeb35b8f9?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-11-03,['k-pop'],0.507,0.394,-7.188,0.035,0.508,0,0.0825,0.164,77.955,6,0,167247,80.0
275,3lJqL7my6Z4yiYGpHBecew,Please Don't Change (feat. DJ Snake),0k0GtcnyQLMiXrdEDbLXmJ,https://p.scdn.co/mp3-preview/e414188ec597e7517ec8b422145200a5ba0644a3?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-11-03,['k-pop'],0.797,0.743,-6.005,0.174,0.164,1.2e-06,0.164,0.768,114.878,11,1,146685,83.0
276,3lJqL7my6Z4yiYGpHBecew,Closer to You (feat. Major Lazer),06Qo2fYR2KS1F7bL338iVT,https://p.scdn.co/mp3-preview/514c45c3950154f444b609cb182c55dea491f36f?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-11-03,['k-pop'],0.781,0.655,-7.073,0.0457,0.114,0.00249,0.103,0.493,113.031,2,0,170995,82.0
277,3lJqL7my6Z4yiYGpHBecew,3D (Justin Timberlake Remix),2mHw0KoEyDw8Yaw3yPoke6,https://p.scdn.co/mp3-preview/094628dc3e162eeb69aaf5e43acd8870f40dc079?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-11-24,['k-pop'],0.817,0.854,-3.28,0.0613,0.0429,0,0.117,0.884,108.991,1,1,160942,76.0
278,3lJqL7my6Z4yiYGpHBecew,Standing Next to You (USHER Remix),0VPFT123HKoQ2J6ipeDcI1,https://p.scdn.co/mp3-preview/30245db673d941d9fc2a8f3005aebc73af158e92?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-12-01,['k-pop'],0.661,0.823,-4.329,0.127,0.0536,0,0.369,0.761,105.993,9,0,214760,82.0
279,3lJqL7my6Z4yiYGpHBecew,Closer Than This,3k6q0O9JnO2GhvD6C8fs20,https://p.scdn.co/mp3-preview/ff12ac1c765f63cf54ab1e4a4e6dfa72d958c2de?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-12-22,['k-pop'],0.716,0.54,-5.951,0.0381,0.389,0,0.0692,0.373,87.963,0,1,223302,89.0
280,3lJqL7my6Z4yiYGpHBecew,wherever u r (ft. V of BTS),1k255f17DRuRbGrfz5Ifmd,https://p.scdn.co/mp3-preview/d2b2742d8532adfca1b3c92c494ce8898968114b?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2023-12-30,"['alternative r&b', 'bedroom soul']",0.69,0.52,-8.072,0.0355,0.794,3.92e-05,0.108,0.225,105.005,8,1,153715,86.0
